ducktracks_menu_open_button,腳印設定
ducktracks_window_title,腳印設定
ducktracks_window_close,關閉
ducktracks_window_reset,重設此頁
ducktracks_toggle_master_on,開啟腳印
ducktracks_toggle_master_off,關閉腳印
ducktracks_shape_section,形狀
ducktracks_shape_source_actual,實際腳型
ducktracks_shape_source_builtin,內建蹼足
ducktracks_shape_source_texture,圖片檔案
ducktracks_shape_actual_hint,依目前穿著的腳型壓印。換鞋後腳印也會隨之改變。
ducktracks_shape_picker,選擇圖片
ducktracks_shape_refresh,重新掃描資料夾
ducktracks_shape_no_textures,資料夾中沒有圖片
ducktracks_shape_folder_hint,將 PNG 放到這裡：{0}
ducktracks_shape_preview,預覽
ducktracks_colour_section,顏色
ducktracks_colour_fresh,剛壓印時
ducktracks_colour_fade,消退時
ducktracks_colour_alpha,濃度
ducktracks_colour_blend_alpha,混合：覆蓋
ducktracks_colour_blend_additive,夜光（在暗處發亮）
ducktracks_colour_blend_hint,夜光僅對亮色有效，暗色請使用覆蓋。
ducktracks_colour_hex,色碼
ducktracks_size_section,大小與間距
ducktracks_size_auto_scale,大小倍數（1 = 與實際腳相同）
ducktracks_size_size,腳印大小
ducktracks_size_life,持續時間
ducktracks_editor_open,繪製形狀
ducktracks_editor_title,繪製形狀 — 塗格子
ducktracks_editor_name,名稱
ducktracks_editor_save,儲存並使用
ducktracks_editor_clear,清空
ducktracks_editor_invert,反轉
ducktracks_editor_delete,刪除形狀
ducktracks_size_forever,永久保留（不消失）
ducktracks_size_forever_hint,腳印不會消失，也沒有數量上限。走過的地方全都會保留。
ducktracks_editor_random,隨機
ducktracks_colour_glow_intensity,發光強度
ducktracks_pulse_section,閃爍
ducktracks_pulse_enable,讓腳印閃爍
ducktracks_pulse_speed,閃爍速度
ducktracks_pulse_depth,變暗程度
ducktracks_pulse_cycle_hue,讓顏色不斷變化
ducktracks_pulse_hue_speed,變色速度
ducktracks_pulse_grey_hint,目前顏色是灰色，循環不會有變化。請先選擇顏色。
ducktracks_colour_burst,濺起的顆粒
ducktracks_burst_section,落腳顆粒
ducktracks_burst_enable,落腳時濺起顆粒
ducktracks_burst_count,每步數量
ducktracks_burst_size,顆粒大小
ducktracks_burst_speed,濺起力度
ducktracks_burst_gravity,重力
ducktracks_burst_life,顆粒持續
ducktracks_burst_colour_hint,顆粒顏色在顏色項的[濺起的顆粒]中選擇。
ducktracks_burst_pick_shape,選擇顆粒形狀
ducktracks_burst_default_shape,預設圓點
ducktracks_burst_reset_shape,恢復預設
ducktracks_burst_drift,讓留下的腳印飄出顆粒
ducktracks_burst_drift_hint,顆粒會從地面上殘留的腳印中緩緩升起。顏色和形狀與濺起的顆粒相同。
ducktracks_burst_drift_rate,飄出的量
ducktracks_burst_drift_scale,飄出顆粒的大小
ducktracks_burst_drift_rise,上升速度
